ja,zh_Hans
愚者,愚者
魔術師,魔术师
女教皇,女教皇
女帝,女皇
皇帝,皇帝
法王,教皇
恋愛,恋爱
戦車,战车
正義,正义
隠者,隐者
運命,命运
剛毅,力量
刑死者,倒悬者
死神,死神
節制,节制
悪魔,恶魔
塔,塔
星,星
月,月亮
太陽,太阳
審判,审判
永劫,永劫
世界,世界
信念,信念
顧問官,顾问官
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
火炎玉,火焰珠
グングン玉,强势珠
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
氷結玉,冰冻珠
メギドラオン,米吉多拉翁
ガル,加尔
ガルーラ,加尔拉
ガルダイン,加尔达因
マハガル,玛哈加尔
マハガルーラ,玛哈加尔拉
マハガルダイン,玛哈加尔达因
疾風玉,疾风珠
祝福玉,祝福珠
呪怨玉,咒怨珠
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
電撃玉,电击珠
金の雨,钱雨
ハマ,哈玛
ハマオン,哈玛翁
マハンマ,玛翰玛
マハンマオン,玛翰玛翁
コウハ,克哈
コウガ,克加
コウガオン,克加翁
マハコウハ,玛哈克哈
マハコウガ,玛哈克加
マハコウガオン,玛哈克加翁
ムド,姆多
ムドオン,姆多翁
マハムド,玛哈姆多
マハムドオン,玛哈姆多翁
エイハ,耶哈
エイガ,耶加
エイガオン,耶加翁
マハエイハ,玛哈耶哈
マハエイガ,玛哈耶加
マハエイガオン,玛哈耶加翁
メギド,米吉多
メギドラ,米吉多拉
フレイ,芙雷
フレイラ,芙雷拉
フレイダイン,芙雷达因
マハフレイ,玛哈芙雷
マハフレイラ,玛哈芙雷拉
マハフレイダイン,玛哈芙雷达因
核熱玉,核热珠
目眩し,致盲
闇夜の閃光,黑夜闪光
プリンパ,普林帕
テンタラフー,颠塔拉弗
デビルタッチ,恶魔之触
デビルスマイル,恶魔微笑
マカジャマ,玛卡加玛
マカジャマオン,玛卡加玛翁
飢餓の吐息,饥饿气息
飢餓の叫び,饥饿吼叫
ドルミナー,永眠
スリープソング,摇篮曲
挑発,挑衅
宣戦布告,宣战布告
不吉な言葉,不吉的话语
奈落の波動,深渊的波动
マリンカリン,马琳卡琳
ブレインジャック,精神污染
フクロノネズミ,袋中鼠
念動玉,念动珠
自爆,自爆
吸血,吸血
吸魔,吸魔
超吸血,强力吸血
超吸魔,强力吸魔
カジャ分捕り  未実装,卡加夺取  未实作
ブランク,空栏
淀んだ吐息,污秽吐息
淀んだ空気,污秽空气
逆なで,狂怒
亡者の嘆き,亡者喟叹
ラヴェ用総攻撃,拉雯妲用总攻击
吸収,吸收
打ち上げ,烟花
特大花火,特大烟花
ドリフト,甩尾
インフェルノ,炼狱
大炎上,大燃烧
低確率で炎上付着,低概率附着燃烧
中確率で炎上付着,中概率附着燃烧
高確率で炎上付着,高概率附着燃烧
低確率で凍結付着,低概率附着冻结
中確率で凍結付着,中概率附着冻结
高確率で凍結付着,高概率附着冻结
低確率で感電付着,低概率附着触电
中確率で感電付着,中概率附着触电
ダイアモンドダスト,钻石星尘
大氷河期,大冰河时期
高確率で感電付着,高概率附着触电
低確率で目眩付着,低概率附着晕眩
中確率で目眩付着,中概率附着晕眩
高確率で目眩付着,高概率附着晕眩
低確率で混乱付着,低概率附着混乱
中確率で混乱付着,中概率附着混乱
高確率で混乱付着,高概率附着混乱
低確率で恐怖付着,低概率附着恐惧
万物流転,万物流转
真空波,真空波
中確率で恐怖付着,中概率附着恐惧
高確率で恐怖付着,高概率附着恐惧
低確率で忘却付着,低概率附着遗忘
中確率で忘却付着,中概率附着遗忘
高確率で忘却付着,高概率附着遗忘
低確率で洗脳付着,低概率附着洗脑
中確率で洗脳付着,中概率附着洗脑
高確率で洗脳付着,高概率附着洗脑
真理の雷,真理之雷
エル・ジハード,崇高圣战
低確率で睡眠付着,低概率附着睡眠
中確率で睡眠付着,中概率附着睡眠
高確率で睡眠付着,高概率附着睡眠
低確率で激怒付着,低概率附着狂怒
中確率で激怒付着,中概率附着狂怒
高確率で激怒付着,高概率附着狂怒
低確率で絶望付着,低概率附着绝望
中確率で絶望付着,中概率附着绝望
神の審判,神之审判
回転説法,回转讲道
高確率で絶望付着,高概率附着绝望
稀に全バステ効果,偶尔附着全异常状态效果
時々全バステ効果,有时附着全异常状态效果
頻繁に全バステ効果,频繁附着全异常状态效果
アダムスキル1,亚当技能1
魂の活性,灵魂活性
大いなる掌,宏伟大掌
渾身の一撃,全力一击
悪魔の審判,恶魔审判
死んでくれる？,可以为我而死吗？
サポートプラス3,支援PLUS3
サポートプラス2,支援PLUS2
サポートプラス1,支援PLUS1
サポート頻度UP,支援频率UP
アトミックフレア,原子火焰
コズミックフレア,宇宙火焰
マインドフルネス,正念疗法
ウェイクフルネス,清醒疗法
漆黒の蛇,漆黑之蛇
明けの明星,拂晓明星
深淵の眼,深渊之眼
王者の盃,王者之杯
搾取の偽画,剥削的假画
金庫の番人,金库看守者
知性の翼,才智的羽翼
社長の心得,社长诀窍
勝負師の先見,赌徒的预测
黒幕の威令,幕后黑手的威令
サイ,赛
サイオ,赛欧
サイダイン,赛达因
マハサイ,玛哈赛
マハサイオ,玛哈赛欧
マハサイダイン,玛哈赛达因
攻撃態勢,攻击姿态
サイコキネシス,念动波
サイコフォース,念动力
万象の力,万象之力
突撃,突击
アサルトダイブ,俯冲突击
メガトンレイド,百万吨袭击
ゴッドハンド,神之手
ラッキーパンチ,幸运拳
ミラクルパンチ,奇迹拳
キルラッシュ,杀戮突袭
ガトリングブロー,加特林重击
貫徹する魔手,贯彻的魔手
スラッシュ,斩击
大切断,大斩断
ブレイブザッパー,勇气之击
剣の舞,剑之舞
聖母の慈愛,圣母的慈爱
八艘跳び,八艘跳跃
マイムール,巴力神矛
デスサイズカット,死神大镰斩
曲解の防御弱体,曲解的防御弱化
会話クエスト用召喚,会话任务用召唤
窮鼠の牙,穷鼠之牙
レイズスラッシュ,加倍斩击
死亡遊戯,死亡游戏
核熱の爆砕,核热爆碎
指弾,指弹
トリプルダウン,三连倒
ワンショットキル,一枪毙命
至高の魔弾,至高魔弹
ダブルシュート,双重射击
原初の光,初始之光
金剛発破,金刚发破
空間殺法,空间杀法
曲解の攻撃強化,曲解的攻击强化
曲解のチャージ,曲解的蓄力
曲解のコンセン,曲解的专心
烈風波,烈风波
ヒートウェイブ,灼热波浪
ギガントマキア,巨人之战
渦巻く念動,翻腾的念动
覇王の粛清,霸王肃清
ガッポリ玉,抢钱珠
暴れまくり,横冲直撞
電光石火,电光石火
デスバウンド,死亡界限
アグネヤストラ,火神之击
丸城相性変化,丸喜耐性变化
自己再生,自我再生
覇王の審判,霸王审判
二連牙,二连牙
パワースラッシュ,威力斩击
無形の守り,无形守护
五月雨斬り,五月雨斩
刹那五月雨斬り,刹那五月雨斩
蛮力の増幅,蛮力增幅
魔性の増幅,魔性增幅
降り注ぐ種子,天降种子
流れ込む生気,活力灌注
ゾーン,心境
スレッジハンマー,烈击巨锤
脳天落とし,倒栽痛击
テラークロウ,骇鸦
ヘッドバット,头锤
